venue,menu_a,menu_b,support_days,conf_a_to_b,conf_b_to_a,lift,jaccard,cosine
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_허브솔트,82,0.6259541984732825,0.5578231292517006,2.2653580516175933,0.41836734693877553,0.5909075475576585
느티나무 셀프BBQ,느티나무 셀프BBQ_BBQ55(단체),느티나무 셀프BBQ_참이슬 (단체),165,0.9705882352941176,0.717391304347826,2.2450127877237853,0.7021276595744681,0.8344408667498865
느티나무 셀프BBQ,느티나무 셀프BBQ_BBQ55(단체),느티나무 셀프BBQ_카스 병(단체),165,0.9705882352941176,0.717391304347826,2.2450127877237853,0.7021276595744681,0.8344408667498865
느티나무 셀프BBQ,느티나무 셀프BBQ_참이슬 (단체),느티나무 셀프BBQ_콜라 (단체),219,0.9521739130434783,0.9605263157894737,2.221739130434783,0.9163179916317992,0.9563409960293969
느티나무 셀프BBQ,느티나무 셀프BBQ_카스 병(단체),느티나무 셀프BBQ_콜라 (단체),219,0.9521739130434783,0.9605263157894737,2.221739130434783,0.9163179916317992,0.9563409960293969
느티나무 셀프BBQ,느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_참이슬 (단체),218,0.960352422907489,0.9478260869565217,2.2213369086381918,0.9121338912133892,0.9540686972664075
느티나무 셀프BBQ,느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_카스 병(단체),218,0.960352422907489,0.9478260869565217,2.2213369086381918,0.9121338912133892,0.9540686972664075
느티나무 셀프BBQ,느티나무 셀프BBQ_BBQ55(단체),느티나무 셀프BBQ_스프라이트 (단체),161,0.9470588235294117,0.7092511013215859,2.2195387406063745,0.6822033898305084,0.8195745930692098
느티나무 셀프BBQ,느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_허브솔트,77,0.6015625,0.5238095238095238,2.1770833333333335,0.3888888888888889,0.5613413993878116
느티나무 셀프BBQ,느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_쌈장,80,0.5333333333333333,0.6106870229007634,2.1659033078880405,0.39800995024875624,0.5707011000051374
느티나무 셀프BBQ,느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_허브솔트,86,0.5733333333333334,0.5850340136054422,2.074920634920635,0.4075829383886256,0.5791541255432675
느티나무 셀프BBQ,느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_햇반,113,0.7533333333333333,0.5566502463054187,1.974252873563218,0.4708333333333333,0.6475671282192157
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),86,0.6564885496183206,0.4858757062146893,1.9731746237115626,0.38738738738738737,0.5647759181017358
느티나무 셀프BBQ,느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_햇반,95,0.7421875,0.46798029556650245,1.9450431034482758,0.4025423728813559,0.5893463545452398
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_햇반,97,0.7404580152671756,0.47783251231527096,1.9405106607001843,0.4092827004219409,0.5948234306910697
느티나무 셀프BBQ,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_햇반,113,0.738562091503268,0.5566502463054187,1.9355420329051158,0.46502057613168724,0.6411870009187174
느티나무 셀프BBQ,느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_친환경 접시 23cm,110,0.859375,0.4641350210970464,1.9290611814345993,0.43137254901960786,0.6315584167401099
느티나무 셀프BBQ,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_잔디그늘집 의자 추가,70,0.45751633986928103,0.546875,1.9015522875816995,0.33175355450236965,0.5002042066656508
느티나무 셀프BBQ,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_허브솔트,92,0.519774011299435,0.6258503401360545,1.8810868980360502,0.39655172413793105,0.5703514195350379
느티나무 셀프BBQ,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_햇반,127,0.7175141242937854,0.625615763546798,1.8803818429768164,0.5019762845849802,0.6699911542144931
느티나무 셀프BBQ,느티나무 셀프BBQ_햇반,느티나무 셀프BBQ_허브솔트,105,0.5172413793103449,0.7142857142857143,1.8719211822660096,0.42857142857142855,0.6078306738548308
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_육개장 사발면,70,0.5343511450381679,0.45751633986928103,1.8580052886294465,0.32710280373831774,0.49444350545115057
느티나무 셀프BBQ,"느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_쌈야채세트,125,0.8445945945945946,0.5122950819672131,1.8414931324767392,0.4681647940074906,0.6577854187095538
느티나무 셀프BBQ,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_허브솔트,77,0.5032679738562091,0.5238095238095238,1.8213507625272332,0.3452914798206278,0.5134360308102702
느티나무 셀프BBQ,느티나무 셀프BBQ_친환경 접시 23cm,느티나무 셀프BBQ_허브솔트,117,0.4936708860759494,0.7959183673469388,1.786618444846293,0.43820224719101125,0.6268346876587848
느티나무 셀프BBQ,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_잔디그늘집 의자 추가,69,0.42592592592592593,0.5390625,1.7702546296296298,0.31221719457013575,0.4791666666666667
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),98,0.7480916030534351,0.43555555555555553,1.7688210347752333,0.3798449612403101,0.5708199836852115
느티나무 셀프BBQ,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_햇반,109,0.6728395061728395,0.5369458128078818,1.763303533418476,0.42578125,0.6010643522379522
느티나무 셀프BBQ,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_일회용 종이컵,139,0.8580246913580247,0.5366795366795367,1.7624290957624291,0.4929078014184397,0.6785899305306756
느티나무 셀프BBQ,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_허브솔트,109,0.48444444444444446,0.7414965986394558,1.753227513227513,0.4144486692015209,0.5993445651587543
느티나무 셀프BBQ,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_일회용 소주컵,81,0.5294117647058824,0.5,1.7385620915032678,0.34615384615384615,0.5144957554275266
느티나무 셀프BBQ,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_친환경 접시 23cm,125,0.7716049382716049,0.5274261603375527,1.7320414648122102,0.4562043795620438,0.6379377946869796
느티나무 셀프BBQ,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),88,0.5751633986928104,0.4971751412429379,1.7287397068055093,0.36363636363636365,0.5347494216760466
느티나무 셀프BBQ,느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_친환경 접시 23cm,115,0.7666666666666667,0.48523206751054854,1.720956399437412,0.4227941176470588,0.609927251201393
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_친환경 접시 14cm,84,0.6412213740458015,0.42,1.705648854961832,0.340080971659919,0.518953733100781
느티나무 셀프BBQ,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_햇반,146,0.6488888888888888,0.7192118226600985,1.700536398467433,0.5177304964539007,0.6831460755077672
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_친환경 접시 23cm,99,0.7557251908396947,0.4177215189873418,1.6963957870325634,0.3680297397769517,0.5618564537802836
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 90,000원",느티나무 셀프BBQ_쌈장,69,0.41566265060240964,0.5267175572519084,1.6880345810723811,0.3026315789473684,0.467906845393562
느티나무 셀프BBQ,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_친환경 접시 23cm,133,0.751412429378531,0.5611814345991561,1.6867148203771245,0.47330960854092524,0.6493679273680532
느티나무 셀프BBQ,느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_일회용 소주컵,77,0.5133333333333333,0.47530864197530864,1.685761316872428,0.3276595744680851,0.4939552303066798
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_일회용 소주컵,67,0.5114503816793893,0.41358024691358025,1.6795777966261427,0.29646017699115046,0.4599193137268826
느티나무 셀프BBQ,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_친환경 접시 14cm,180,0.627177700348432,0.9,1.6682926829268292,0.5863192182410424,0.7513054840167139
느티나무 셀프BBQ,"느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_친환경 접시 14cm,92,0.6216216216216216,0.46,1.6535135135135135,0.359375,0.5347391382215686
느티나무 셀프BBQ,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_친환경 접시 14cm,95,0.6209150326797386,0.475,1.6516339869281047,0.3682170542635659,0.543078852951278
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_쌈장,99,0.4057377049180328,0.7557251908396947,1.6477286947816294,0.358695652173913,0.5537383899279876
느티나무 셀프BBQ,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_친환경 접시 14cm,100,0.6172839506172839,0.5,1.6419753086419753,0.3816793893129771,0.5555555555555556
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_육개장 사발면,115,0.4713114754098361,0.7516339869281046,1.6388085288760315,0.4078014184397163,0.5951921734593478
느티나무 셀프BBQ,느티나무 셀프BBQ_친환경 접시 14cm,느티나무 셀프BBQ_햇반,125,0.625,0.6157635467980296,1.6379310344827587,0.44964028776978415,0.6203645837318315
느티나무 셀프BBQ,느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_육개장 사발면,70,0.4666666666666667,0.45751633986928103,1.6226579520697166,0.30042918454935624,0.46206885338911463
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_햇반,151,0.6188524590163934,0.7438423645320197,1.6218202374222725,0.5101351351351351,0.6784752585107352
느티나무 셀프BBQ,느티나무 셀프BBQ_친환경 접시 23cm,느티나무 셀프BBQ_햇반,146,0.6160337552742616,0.7192118226600985,1.614433289684272,0.4965986394557823,0.665626591980028
느티나무 셀프BBQ,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),87,0.5370370370370371,0.4915254237288136,1.6141452186649927,0.34523809523809523,0.513777536670976
느티나무 셀프BBQ,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_쌈장,114,0.397212543554007,0.8702290076335878,1.6131074287842113,0.375,0.5879335656318805
느티나무 셀프BBQ,느티나무 셀프BBQ_친환경 접시 14cm,느티나무 셀프BBQ_친환경 접시 23cm,143,0.715,0.6033755274261603,1.6049789029535868,0.48639455782312924,0.6568207534097142
느티나무 셀프BBQ,"느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_육개장 사발면,68,0.4594594594594595,0.4444444444444444,1.5975975975975978,0.2918454935622318,0.45188959293637665
느티나무 셀프BBQ,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),103,0.673202614379085,0.4577777777777778,1.591750181554103,0.37454545454545457,0.5551370973053843
느티나무 셀프BBQ,"느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_쌈장,58,0.3918918918918919,0.44274809160305345,1.5914998968434084,0.26244343891402716,0.41654458014700574
느티나무 셀프BBQ,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_허브솔트,71,0.4382716049382716,0.48299319727891155,1.5861258083480303,0.29831932773109243,0.46008934322117895
느티나무 셀프BBQ,느티나무 셀프BBQ_일회용 종이컵,느티나무 셀프BBQ_친환경 접시 23cm,183,0.7065637065637066,0.7721518987341772,1.586041737940472,0.5846645367412141,0.7386301561673637
느티나무 셀프BBQ,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_잔디그늘집 의자 추가,109,0.3797909407665505,0.8515625,1.5785060975609757,0.3562091503267974,0.568696512207096
느티나무 셀프BBQ,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_친환경 접시 23cm,201,0.7003484320557491,0.8481012658227848,1.5720901512812597,0.6222910216718266,0.7706921510846491
느티나무 셀프BBQ,느티나무 셀프BBQ_일회용 종이컵,느티나무 셀프BBQ_친환경 접시 14cm,153,0.5907335907335908,0.765,1.5713513513513513,0.5,0.6722434060005326
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 90,000원",느티나무 셀프BBQ_육개장 사발면,75,0.45180722891566266,0.49019607843137253,1.5709898417198205,0.3073770491803279,0.47061038218615964
느티나무 셀프BBQ,느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_쌈야채세트,108,0.72,0.4426229508196721,1.5698360655737702,0.3776223776223776,0.564525043368462
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_잔디그늘집 의자 추가,92,0.3770491803278688,0.71875,1.567110655737705,0.32857142857142857,0.5205805397444815
느티나무 셀프BBQ,"느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_햇반,88,0.5945945945945946,0.43349753694581283,1.5582479030754892,0.33460076045627374,0.507696062854589
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),126,0.5163934426229508,0.711864406779661,1.5520978049458183,0.4271186440677966,0.6063019971084491
느티나무 셀프BBQ,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_신라면,125,0.4355400696864111,0.8333333333333334,1.5447154471544715,0.40064102564102566,0.6024533658898498
느티나무 셀프BBQ,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_햇반,169,0.5888501742160279,0.8325123152709359,1.5431935600144178,0.5264797507788161,0.7001607114686451
느티나무 셀프BBQ,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_친환경 접시 23cm,105,0.6862745098039216,0.4430379746835443,1.5404980557623893,0.3684210526315789,0.5514033631566565
느티나무 셀프BBQ,느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_친환경 접시 14cm,74,0.578125,0.37,1.5378125,0.29133858267716534,0.4625
느티나무 셀프BBQ,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_일회용 소주컵,134,0.46689895470383275,0.8271604938271605,1.5332731105088828,0.4253968253968254,0.621450215174319
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_허브솔트,103,0.42213114754098363,0.7006802721088435,1.5277127244340358,0.3576388888888889,0.5438556493451501
느티나무 셀프BBQ,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_친환경 접시 23cm,153,0.68,0.6455696202531646,1.5264135021097047,0.49514563106796117,0.6625611985108635
느티나무 셀프BBQ,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_허브솔트,121,0.42160278745644597,0.8231292517006803,1.5258005641280903,0.3865814696485623,0.5890955669107902
느티나무 셀프BBQ,느티나무 셀프BBQ_일회용 종이컵,느티나무 셀프BBQ_잔디그늘집 의자 추가,95,0.3667953667953668,0.7421875,1.5244932432432432,0.3253424657534247,0.5217575455069493
느티나무 셀프BBQ,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_육개장 사발면,125,0.4355400696864111,0.8169934640522876,1.514426908974972,0.3968253968253968,0.5965177199938622
느티나무 셀프BBQ,느티나무 셀프BBQ_일회용 종이컵,느티나무 셀프BBQ_햇반,149,0.5752895752895753,0.7339901477832512,1.5076554386899212,0.476038338658147,0.6498129580001919
느티나무 셀프BBQ,느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_친환경 접시 14cm,85,0.5666666666666667,0.425,1.5073333333333334,0.32075471698113206,0.4907477288111819
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_일회용 종이컵,96,0.732824427480916,0.37065637065637064,1.5052609861770165,0.32653061224489793,0.5211775538320976
느티나무 셀프BBQ,느티나무 셀프BBQ_친환경 접시 14cm,느티나무 셀프BBQ_허브솔트,83,0.415,0.564625850340136,1.5019047619047619,0.3143939393939394,0.48406583012143756
느티나무 셀프BBQ,"느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_허브솔트,61,0.41216216216216217,0.41496598639455784,1.4916344916344915,0.2606837606837607,0.41356169814930316
느티나무 셀프BBQ,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),102,0.6296296296296297,0.4533333333333333,1.4887242798353908,0.35789473684210527,0.5342584568965025
느티나무 셀프BBQ,"느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_일회용 소주컵,67,0.4527027027027027,0.41358024691358025,1.4866533199866536,0.2757201646090535,0.4326995442131051
느티나무 셀프BBQ,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_일회용 종이컵,207,0.7212543554006968,0.7992277992277992,1.4814954327149448,0.6106194690265486,0.7592407596740074
느티나무 셀프BBQ,느티나무 셀프BBQ_1인 수저세트,"느티나무 셀프BBQ_본삼겹 (단품,실내)",118,0.41114982578397213,0.7972972972972973,1.4779169413315756,0.3722397476340694,0.5725457578934767
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 90,000원","느티나무 셀프BBQ_본삼겹 (단품,실내)",68,0.40963855421686746,0.4594594594594595,1.4724845327254965,0.2764227642276423,0.43383442543698214
느티나무 셀프BBQ,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),140,0.4878048780487805,0.7909604519774012,1.4661705939093288,0.43209876543209874,0.6211556703582802
느티나무 셀프BBQ,느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_일회용 종이컵,107,0.7133333333333334,0.41312741312741313,1.4652252252252254,0.3543046357615894,0.5428605296920699
느티나무 셀프BBQ,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_일회용 종이컵,108,0.7058823529411765,0.416988416988417,1.449920508744038,0.35526315789473684,0.5425354964728116
느티나무 셀프BBQ,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_쌈야채세트,190,0.662020905923345,0.7786885245901639,1.443422630947621,0.5571847507331378,0.7179889152913805
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_일회용 소주컵,107,0.4385245901639344,0.6604938271604939,1.440093098563044,0.35785953177257523,0.5381847125860824
느티나무 셀프BBQ,느티나무 셀프BBQ_일회용 종이컵,느티나무 셀프BBQ_허브솔트,103,0.39768339768339767,0.7006802721088435,1.4392351535208678,0.33993399339933994,0.5278720595958575
느티나무 셀프BBQ,느티나무 셀프BBQ_일회용 종이컵,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),124,0.47876447876447875,0.7005649717514124,1.4389983203542525,0.3974358974358974,0.579142144504453
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),148,0.6065573770491803,0.6577777777777778,1.4341712204007286,0.46105919003115264,0.6316486076689535
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_친환경 접시 14cm,131,0.5368852459016393,0.655,1.428114754098361,0.4185303514376997,0.5930091365784964
느티나무 셀프BBQ,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_친환경 접시 14cm,95,0.536723163841808,0.475,1.4276836158192092,0.33687943262411346,0.5049193032800972
느티나무 셀프BBQ,"느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_친환경 접시 23cm,94,0.6351351351351351,0.39662447257383965,1.425704185197856,0.3230240549828179,0.5019065032315155
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 90,000원",느티나무 셀프BBQ_허브솔트,65,0.39156626506024095,0.4421768707482993,1.4170969592656337,0.2620967741935484,0.4161028067376336
느티나무 셀프BBQ,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),171,0.5958188153310104,0.76,1.4087804878048782,0.501466275659824,0.672920723155089
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_친환경 접시 23cm,153,0.6270491803278688,0.6455696202531646,1.4075534343224736,0.46646341463414637,0.6362420146644832
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 90,000원",느티나무 셀프BBQ_친환경 접시 14cm,86,0.5180722891566265,0.43,1.3780722891566264,0.30714285714285716,0.4719863179556685
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 90,000원",느티나무 셀프BBQ_잔디그늘집 의자 추가,54,0.3253012048192771,0.421875,1.3520331325301203,0.225,0.37045437746520493
느티나무 셀프BBQ,느티나무 셀프BBQ_일회용 종이컵,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),148,0.5714285714285714,0.6577777777777778,1.351111111111111,0.44047619047619047,0.6130848357878507
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 60,000원","느티나무 셀프BBQ_대여료 90,000원",155,0.421195652173913,0.9337349397590361,1.3498559455212156,0.40897097625329815,0.6271244668400179
느티나무 셀프BBQ,"느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_일회용 종이컵,97,0.6554054054054054,0.3745173745173745,1.3462381300219137,0.31290322580645163,0.495439917322906
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 60,000원",느티나무 셀프BBQ_육개장 사발면,141,0.38315217391304346,0.9215686274509803,1.3322676896845695,0.37105263157894736,0.594223041473404
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 60,000원","느티나무 셀프BBQ_본삼겹 (단품,실내)",136,0.3695652173913043,0.918918918918919,1.328437132784959,0.35789473684210527,0.5827524946624018
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 90,000원",느티나무 셀프BBQ_친환경 접시 23cm,98,0.5903614457831325,0.41350210970464135,1.325199532306441,0.32131147540983607,0.49408066479028256
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 60,000원",느티나무 셀프BBQ_쌈장,120,0.32608695652173914,0.916030534351145,1.3242615333554597,0.316622691292876,0.5465396683018967
느티나무 셀프BBQ,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_친환경 접시 14cm,111,0.49333333333333335,0.555,1.3122666666666667,0.3535031847133758,0.5232590180780452
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 30,000원",느티나무 셀프BBQ_육개장 사발면,152,0.37530864197530867,0.9934640522875817,1.3049947551036876,0.37438423645320196,0.6106190664525136
느티나무 셀프BBQ,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_일회용 종이컵,155,0.6352459016393442,0.5984555984555985,1.3048294195835182,0.4454022988505747,0.6165764074565617
느티나무 셀프BBQ,느티나무 셀프BBQ_BBQ55(단체),느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),93,0.5470588235294118,0.41333333333333333,1.2934901960784313,0.3079470198675497,0.4755182930853697
느티나무 셀프BBQ,"느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_잔디그늘집 의자 추가,46,0.3108108108108108,0.359375,1.2918074324324325,0.2,0.3342119613884804
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 60,000원",느티나무 셀프BBQ_일회용 소주컵,143,0.38858695652173914,0.8827160493827161,1.2761003757380571,0.3695090439276486,0.585672214726397
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 30,000원",느티나무 셀프BBQ_쌈장,127,0.3135802469135803,0.9694656488549618,1.273470926397135,0.3105134474327628,0.5513667359772199
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 30,000원","느티나무 셀프BBQ_본삼겹 (단품,실내)",143,0.3530864197530864,0.9662162162162162,1.2692025358692027,0.348780487804878,0.5840871719967473
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 30,000원","느티나무 셀프BBQ_대여료 90,000원",160,0.3950617283950617,0.963855421686747,1.2661014428082702,0.38929440389294406,0.6170756751116652
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 60,000원",느티나무 셀프BBQ_친환경 접시 14cm,175,0.47554347826086957,0.875,1.264945652173913,0.44529262086513993,0.645058558177675
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 90,000원",느티나무 셀프BBQ_일회용 종이컵,102,0.6144578313253012,0.3938223938223938,1.262129599478997,0.3157894736842105,0.4919219999506495
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 90,000원",느티나무 셀프BBQ_쌈야채세트,96,0.5783132530120482,0.39344262295081966,1.260912502468892,0.3057324840764331,0.477004280014636
느티나무 셀프BBQ,"느티나무 셀프BBQ_대여료 60,000원",느티나무 셀프BBQ_친환경 접시 23cm,206,0.5597826086956522,0.869198312236287,1.2565584296459367,0.5162907268170426,0.6975400337597023
느티나무 셀프BBQ,느티나무 셀프BBQ_1인 수저세트,"느티나무 셀프BBQ_대여료 90,000원",112,0.3902439024390244,0.6746987951807228,1.250661181310608,0.3284457478005865,0.5131248296489201
