영업일자,총매출수량
2023-10-16,1126
2023-10-17,2993
2023-10-18,3777
2023-10-19,2872
2023-10-20,3120
2023-10-21,3252
2023-10-22,3711
2023-10-23,3327
2023-10-24,3205
2023-10-25,3736
2023-10-26,3240
2023-10-27,3362
2023-10-28,3722
2023-10-29,3795
2023-10-30,3348
2023-10-31,3359
2023-11-01,3565
2023-11-02,4118
2023-11-03,4089
2023-11-04,3670
2023-11-05,2819
2023-11-06,2274
2023-11-07,3250
2023-11-08,3150
2023-11-09,3587
2023-11-10,2780
2023-11-11,2758
2023-11-12,2379
2023-11-13,1681
2023-11-14,1733
2023-11-15,1641
2023-11-16,1274
2023-11-17,1556
2023-11-18,1900
2023-11-19,1660
2023-11-20,465
2023-11-21,844
2023-11-22,1030
2023-11-23,1200
2023-11-24,1535
2023-11-25,1619
2023-11-26,1189
2023-11-27,710
2023-11-28,485
2023-11-29,247
2023-11-30,637
2023-12-01,903
2023-12-02,960
2023-12-03,435
2023-12-04,534
2023-12-05,621
2023-12-06,711
2023-12-07,1304
2023-12-08,2839
2023-12-09,4024
2023-12-10,3122
2023-12-11,1095
2023-12-12,1439
2023-12-13,1431
2023-12-14,1035
2023-12-15,1031
2023-12-16,1772
2023-12-17,1332
2023-12-18,2854
2023-12-19,2661
2023-12-20,2486
2023-12-21,2253
2023-12-22,3534
2023-12-23,4835
2023-12-24,6476
2023-12-25,4497
2023-12-26,3755
2023-12-27,4036
2023-12-28,4174
2023-12-29,5131
2023-12-30,5301
2023-12-31,5441
2024-01-01,4636
2024-01-02,3379
2024-01-03,2745
2024-01-04,3204
2024-01-05,4158
2024-01-06,7019
2024-01-07,4679
2024-01-08,3323
2024-01-09,3013
2024-01-10,3208
2024-01-11,3971
2024-01-12,5160
2024-01-13,9126
2024-01-14,3961
2024-01-15,3598
2024-01-16,3512
2024-01-17,3261
2024-01-18,4116
2024-01-19,5646
2024-01-20,7134
2024-01-21,5429
2024-01-22,3022
2024-01-23,2475
2024-01-24,2572
2024-01-25,3240
2024-01-26,4852
2024-01-27,8041
2024-01-28,5647
2024-01-29,3666
2024-01-30,3424
2024-01-31,3094
2024-02-01,3207
2024-02-02,4465
2024-02-03,6799
2024-02-04,4921
2024-02-05,1892
2024-02-06,2569
2024-02-07,2558
2024-02-08,4033
2024-02-09,4244
2024-02-10,4026
2024-02-11,6338
2024-02-12,4800
2024-02-13,2635
2024-02-14,2092
2024-02-15,1680
2024-02-16,3750
2024-02-17,5732
2024-02-18,2921
2024-02-19,980
2024-02-20,1385
2024-02-21,771
2024-02-22,2736
2024-02-23,3563
2024-02-24,4400
2024-02-25,3393
2024-02-26,1889
2024-02-27,1464
2024-02-28,1700
2024-02-29,2254
2024-03-01,2584
2024-03-02,1808
2024-03-03,696
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,33
2024-03-14,292
2024-03-15,1497
2024-03-16,1698
2024-03-17,360
2024-03-18,129
2024-03-19,319
2024-03-20,464
2024-03-21,797
2024-03-22,677
2024-03-23,594
2024-03-24,397
2024-03-25,250
2024-03-26,181
2024-03-27,243
2024-03-28,719
2024-03-29,1625
2024-03-30,2546
2024-03-31,2356
2024-04-01,598
2024-04-02,2148
2024-04-03,1317
2024-04-04,2578
2024-04-05,2479
2024-04-06,3007
2024-04-07,2864
2024-04-08,301
2024-04-09,2609
2024-04-10,2815
2024-04-11,2842
2024-04-12,3430
2024-04-13,3406
2024-04-14,2911
2024-04-15,378
2024-04-16,2155
2024-04-17,2181
2024-04-18,2579
2024-04-19,2582
2024-04-20,1858
2024-04-21,2393
2024-04-22,614
2024-04-23,2048
2024-04-24,1475
2024-04-25,2204
2024-04-26,2953
2024-04-27,3289
2024-04-28,3156
2024-04-29,382
2024-04-30,1840
2024-05-01,2200
2024-05-02,878
2024-05-03,1409
2024-05-04,3035
2024-05-05,1646
2024-05-06,798
2024-05-07,559
2024-05-08,813
2024-05-09,1401
2024-05-10,1598
2024-05-11,1964
2024-05-12,1896
2024-05-13,193
2024-05-14,921
2024-05-15,1426
2024-05-16,1116
2024-05-17,1517
2024-05-18,2195
2024-05-19,1842
2024-05-20,590
2024-05-21,927
2024-05-22,1084
2024-05-23,2059
2024-05-24,1766
2024-05-25,2274
2024-05-26,1296
2024-05-27,347
2024-05-28,1112
2024-05-29,987
2024-05-30,1659
2024-05-31,2294
2024-06-01,2161
2024-06-02,1423
2024-06-03,213
2024-06-04,1140
2024-06-05,1424
2024-06-06,2653
2024-06-07,1854
2024-06-08,1454
2024-06-09,1378
2024-06-10,944
2024-06-11,1066
2024-06-12,1041
2024-06-13,1245
2024-06-14,1835
2024-06-15,1975
